Year,Mean
1963,7738.714285714285
1965,7634.083333333333
1966,8347.76923076923
1967,8267.857142857143
1968,8168.666666666667
1969,9176.066666666668
1970,9484.066666666668
1971,9631.666666666666
1973,11253.058823529413
1975,12588.75
1976,13003.0
1977,13562.7
1978,14548.85
1979,14410.047619047618
1980,15126.454545454546
1981,16023.09090909091
1982,16333.40909090909
1983,17164.227272727272
1984,18370.772727272728
1985,18407.545454545456
1986,19875.652173913044
1987,21425.739130434784
1988,21542.434782608696
1989,21084.208333333332
1990,22218.0
1991,21285.041666666668
1992,21743.0
1993,22113.625
1994,22953.125
1995,23555.125
1996,23413.5
1997,24533.291666666668
1999,26666.875
2003,28850.875
2004,29859.541666666668
2005,29367.0
2006,29024.875
2007,26962.083333333332
2008,31045.91304347826
2009,30474.708333333332
2010,35836.04347826087
2011,33339.375
2012,33621.333333333336
2013,32752.25
2014,32896.47826086957
2015,33299.791666666664
2016,34690.291666666664
2017,35638.391304347824
2018,41938.25
2019,41019.22727272727
2020,32160.833333333332
2021,34237.75
2022,34987.8
2023,37054.6
